,importance,name
166,20.721008338437592,days_mean
11,6.930811374983483,days_since_prior_order_4
167,5.760303075453999,days_std
29,4.772389738321181,reorder_rate
8,4.048469182894979,days_since_prior_order_3
168,3.75027108078224,organic_mean
114,2.9820006372259416,order_top4_aisle 83
0,2.815964165474954,new_or_not
115,2.202159456357854,order_top4_aisle 84
84,1.7866477478018747,order_top4_aisle 53
10,1.536445669927988,order_4_hour_of_day
2,1.4245658464710118,order_1_hour_of_day
135,1.3783251390268274,order_top4_aisle 104
100,1.3264450455309624,order_top4_aisle 69
68,1.3160550171686085,order_top4_aisle 37
5,1.26833853184942,days_since_prior_order_2
122,1.2637135047428438,order_top4_aisle 91
4,1.1777660820962261,order_2_hour_of_day
28,1.1749664357883685,dup_prod_num
156,1.0812361257131682,order_top4_aisle 125
48,1.0616157970650641,order_top4_aisle 17
27,0.9959693480528593,order_4_num_of_prod
26,0.9842310794334466,order_3_num_of_prod
7,0.8946269775713965,order_3_hour_of_day
69,0.8652636960191915,order_top4_aisle 38
49,0.8228970488349384,order_top4_aisle 18
171,0.8200729315759994,num_of_prod_std
19,0.7704820350537033,order_4_first_pick
110,0.7580456138533629,order_top4_aisle 79
59,0.6731589288941148,order_top4_aisle 28
146,0.6544646533153953,order_top4_aisle 115
25,0.6461725176958073,order_2_num_of_prod
18,0.6304111159485318,order_3_first_pick
14,0.6281841697017884,order_3_organic_count
55,0.6074101485993416,order_top4_aisle 24
148,0.5995304503078976,order_top4_aisle 117
127,0.5965587227786074,order_top4_aisle 96
85,0.547798573321257,order_top4_aisle 54
15,0.5299627672320694,order_4_organic_count
17,0.529189034235834,order_2_first_pick
131,0.5208559089846347,order_top4_aisle 100
22,0.5178935302484609,order_3_second_pick
24,0.5048387641861355,order_1_num_of_prod
170,0.4932050738131784,num_of_prod_mean
30,0.4840298045777407,favorite_item
31,0.4835106569674435,favorite_item_order_num
151,0.47655439795303933,order_top4_aisle 120
12,0.47374007788290595,order_1_organic_count
20,0.46640171924482293,order_1_second_pick
112,0.4513587297350019,order_top4_aisle 81
72,0.4471941490810343,order_top4_aisle 41
136,0.4313410183273891,order_top4_aisle 105
58,0.42528856714862406,order_top4_aisle 27
34,0.42354816111307253,order_top4_aisle 3
76,0.41192222152472946,order_top4_aisle 45
16,0.3934923030817212,order_1_first_pick
169,0.38709408165342,organic_std
13,0.3681075345728154,order_2_organic_count
