,featue,importance
166,days_mean,16.916307245122304
11,days_since_prior_order_4,5.870882261052239
167,days_std,5.2705929635135815
29,reorder_rate,3.761489308404246
8,days_since_prior_order_3,3.559393219883069
168,organic_mean,2.966335380369268
114,order_top4_aisle 83,2.9540916406382913
5,days_since_prior_order_2,2.1516245799960023
0,new_or_not,2.075379743012436
2,order_1_hour_of_day,2.052150243201319
115,order_top4_aisle 84,1.8710986066064046
10,order_4_hour_of_day,1.5416520410571688
84,order_top4_aisle 53,1.3823432067120798
169,organic_std,1.240499741045853
18,order_3_first_pick,1.1641595305060888
24,order_1_num_of_prod,1.148649365479384
17,order_2_first_pick,1.1407587677208753
122,order_top4_aisle 91,1.1323649439676324
27,order_4_num_of_prod,1.0879133511370054
170,num_of_prod_mean,1.0856156256643552
68,order_top4_aisle 37,1.071797029747123
100,order_top4_aisle 69,1.0502427371530676
9,order_4_dow,1.0240240507674487
14,order_3_organic_count,0.9994915072091356
171,num_of_prod_std,0.9992217703142885
3,order_2_dow,0.9342866656830114
28,dup_prod_num,0.9167892536162612
7,order_3_hour_of_day,0.9101715682506664
19,order_4_first_pick,0.9075529631564513
26,order_3_num_of_prod,0.8787024303076849
4,order_2_hour_of_day,0.874200093018078
69,order_top4_aisle 38,0.8616016712741645
22,order_3_second_pick,0.8604158212964502
127,order_top4_aisle 96,0.8558337508190721
30,favorite_item,0.8315174072772041
151,order_top4_aisle 120,0.7577667753481564
48,order_top4_aisle 17,0.754845988410568
55,order_top4_aisle 24,0.7098465860174558
135,order_top4_aisle 104,0.6892800524769691
146,order_top4_aisle 115,0.6742849358095415
110,order_top4_aisle 79,0.6310866426411849
25,order_2_num_of_prod,0.6207500944590147
156,order_top4_aisle 125,0.6169584620462455
117,order_top4_aisle 86,0.6055409295336318
6,order_3_dow,0.5651260074285912
147,order_top4_aisle 116,0.5523378379115905
85,order_top4_aisle 54,0.5514662737791071
1,order_1_dow,0.5157248138620949
54,order_top4_aisle 23,0.5139206667505517
131,order_top4_aisle 100,0.5133060628957699
49,order_top4_aisle 18,0.47601038143739777
15,order_4_organic_count,0.46698351300777546
139,order_top4_aisle 108,0.46183899005990114
31,favorite_item_order_num,0.4546247565268044
148,order_top4_aisle 117,0.453583323073917
23,order_4_second_pick,0.4522442565175185
109,order_top4_aisle 78,0.42692669692398993
20,order_1_second_pick,0.42520403148248204
59,order_top4_aisle 28,0.42268704672481594
13,order_2_organic_count,0.4092750534762392
34,order_top4_aisle 3,0.402261817436259
21,order_2_second_pick,0.40188894012899223
63,order_top4_aisle 32,0.39860337137092117
76,order_top4_aisle 45,0.3983938568011976
112,order_top4_aisle 81,0.39528942549738366
36,order_top4_aisle 5,0.3839037239023786
12,order_1_organic_count,0.3769829363947513
92,order_top4_aisle 61,0.360477136960488
72,order_top4_aisle 41,0.3576871039316259
52,order_top4_aisle 21,0.3508239050133295
136,order_top4_aisle 105,0.32805494267150803
143,order_top4_aisle 112,0.32101024896629027
90,order_top4_aisle 59,0.3027226918025245
129,order_top4_aisle 98,0.29405323037425596
137,order_top4_aisle 106,0.2662506878843628
157,order_top4_aisle 126,0.2586682899622396
145,order_top4_aisle 114,0.25866495025504116
88,order_top4_aisle 57,0.24787364142176183
42,order_top4_aisle 11,0.24650563097886077
83,order_top4_aisle 52,0.23114983536440545
120,order_top4_aisle 89,0.209140692486012
35,order_top4_aisle 4,0.20900151624865462
97,order_top4_aisle 66,0.20099642697410888
62,order_top4_aisle 31,0.19334303294493518
160,order_top4_aisle 129,0.18760138593874168
158,order_top4_aisle 127,0.18709675682352403
119,order_top4_aisle 88,0.18557241697775678
108,order_top4_aisle 77,0.16223618537878362
58,order_top4_aisle 27,0.15754254542034088
103,order_top4_aisle 72,0.15176864545129545
144,order_top4_aisle 113,0.14918346678162103
154,order_top4_aisle 123,0.14564452853977872
67,order_top4_aisle 36,0.14121379060088293
